"scenario_id","n","replicates","failures","warnings","unexplained_nonfinite","raw_negative_variance_count","raw_negative_variance_rate","projection_count","projection_rate","floor_count","floor_rate","min_eigen_min","min_eigen_q05","min_eigen_median","min_eigen_q95","mean_M1","mean_M2","median_M1","median_M2","mean_cor_M1_M2","mean_cor_M1_P1","mean_cor_M2_P2"
"S4",100,5000,0,188,0,1,2e-04,65,0.013,72,0.0144,-0.00500418148892659,0.00154041604743372,0.0068827262145524,0.012810814657357,9.233382,17.185046,9,17,0.359105882231484,0.523180746655238,-0.450871840754252
"S4",250,5000,0,4,0,0,0,2,4e-04,2,4e-04,-0.00196619374184139,0.0037778524848459,0.00728810297624938,0.0111708786725511,9.2437504,17.194008,9,17,0.361119923658732,0.526307982962206,-0.452591580945812
"S4",500,5000,0,0,0,0,0,0,0,0,0,0.00209683780042673,0.00501230362684405,0.00736619285391354,0.00995383421739807,9.23846,17.1955588,9,17,0.363694165090086,0.528339063716814,-0.453457179644521
"S5",50,5000,0,12,0,6,0.0012,9,0.0018,12,0.0024,-0.00279698467346011,0.00766995662673712,0.0179074809687307,0.0290168513279147,9.274252,17.363216,9,17,0.186713311685258,0.552384608531573,-0.512119576585643
"S5",100,5000,0,0,0,0,0,0,0,0,0,0.00383589008214367,0.0127655715138734,0.0202395815399828,0.0281939673067987,9.271674,17.366496,9,17,0.185653773569546,0.556984123614059,-0.513202133106266
"S5",250,5000,0,0,0,0,0,0,0,0,0,0.0102720634767826,0.0172736306784069,0.0222903273891401,0.0273862960664145,9.2646312,17.3772992,9,17,0.188934715683081,0.558024541509328,-0.512983509351849
"S5",500,5000,0,0,0,0,0,0,0,0,0,0.0147245433973142,0.0195786236737986,0.0231939561755697,0.0266950000446556,9.269426,17.3770564,9,17,0.188744823691509,0.558235061986087,-0.512509267031772
"S6",50,5000,0,3527,0,485,0.097,2439,0.4878,2698,0.5396,-0.012504644415269,-0.00550420922160844,9.89646368057102e-05,0.00484786467470736,4.000372,21.98804,4,22,0.000407636732663684,-0.0011202393219893,0.00080497747267809
"S6",100,5000,0,4396,0,119,0.0238,2029,0.4058,2097,0.4194,-0.00867716367738485,-0.00346895819120706,0.000501797990580572,0.00401592484845568,3.99684,21.998812,4,22,-0.00179191613641017,0.00133175107131268,0.00125267710266412
"S6",250,5000,0,3347,0,0,0,1431,0.2862,1447,0.2894,-0.00459986690335447,-0.00160522643394897,0.000831824022563087,0.00305483280485421,3.9982872,21.998296,4,22,0.000674689033949604,-0.000786649860956519,0.00133726142805903
"S6",500,5000,0,2440,0,0,0,898,0.1796,908,0.1816,-0.00293362893325489,-0.000776538392370206,0.00094260057579395,0.00258662206728359,3.9999332,22.0004068,4,22,-9.85311937622935e-07,-0.000132637409559682,0.000133818207735916
