"scenario_id","n","method","B_total","B_valid","truth","mean_estimate","bias","mcse_bias","empirical_sd","mcse_empirical_sd","rmse","mcse_rmse","median_absolute_error","mcse_median_absolute_error","coverage","mcse_coverage","mean_interval_length","mcse_mean_interval_length","lower_noncoverage","mcse_lower_noncoverage","upper_noncoverage","mcse_upper_noncoverage","mean_estimated_se_fisher","mcse_mean_estimated_se_fisher","empirical_sd_fisher","se_fisher_to_empirical_fisher_sd_ratio","projection_rate","negative_variance_rate"
"S1",500,"oracle_sample",5000,5000,0.554700196225229,0.553874153333897,-0.000826042891331707,0.000434885310839883,0.0307510352333301,0.000316419272279184,0.0307590537817118,0.000318016058978694,0.0209034350857124,0.000364359012511613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S2",50,"proposed",5000,5000,0.554700196225229,0.582113132704512,0.0274129364792827,0.00436223037586539,0.308456267987236,0.00321931945196323,0.309641259029185,0.00306303827997461,0.245053883518893,0.00366570672866151,0.9596,0.00278452293939195,1.39444635035364,0.00666192351429351,0,0,0.0404,0.00278452293939195,2.8060482455404,0.0611702874900199,0.656565025630129,4.27383143481841,0.2042,0.0744
"S2",50,"naive",5000,5000,0.554700196225229,0.246201291986985,-0.308498904238245,0.00192326455293303,0.135995340739466,0.00134561658426461,0.337138855180622,0.00187245946208843,0.304660280015141,0.00287118899593857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2042,0.0744
"S2",50,"raw",5000,4628,0.554700196225229,0.66201372423721,0.107313528011981,0.0134697085570528,0.916336264138914,0.244629310787722,0.922500357301734,0.24405375436689,0.235808244771003,0.00390378592929982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2042,0.0744
"S2",50,"oracle_sample",5000,5000,0.554700196225229,0.550621476578589,-0.00407871964664065,0.00142561716944278,0.100806356788896,0.00107410186295974,0.100878764557722,0.00109370186942426,0.0682801883424958,0.00112959240427896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2042,0.0744
"S2",100,"proposed",5000,5000,0.554700196225229,0.593075502095891,0.0383753058706615,0.00335648998822773,0.237339683166058,0.00208082141315264,0.240398675705568,0.00208515012892689,0.165538247911958,0.00269572617225315,0.9592,0.00279769047608916,1.09698202178611,0.00677607342184011,0,0,0.0408,0.00279769047608916,3.93302407225097,0.145319773067006,0.677821584242683,5.80244737506443,0.0976,0.0218
"S2",100,"naive",5000,5000,0.554700196225229,0.247203273511353,-0.307496922713877,0.00136032188419266,0.0961892828909093,0.000917118368101667,0.322187655173103,0.00133703305648705,0.305820012150719,0.00158106107493588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0976,0.0218
"S2",100,"raw",5000,4891,0.554700196225229,0.627307423381616,0.0726072271563872,0.00687898234361959,0.481086340512816,0.0645387784373325,0.486485925865557,0.0645524443131203,0.162168506416532,0.00265199809829956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0976,0.0218
"S2",100,"oracle_sample",5000,5000,0.554700196225229,0.553652588012426,-0.00104760821280336,0.000970094037483553,0.0685960072293257,0.000701903061225754,0.0685971472317303,0.000704319997835524,0.0461525240243159,0.000810192475080641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0976,0.0218
"S2",250,"proposed",5000,5000,0.554700196225229,0.573494518316466,0.0187943220912368,0.00223038620337533,0.157712120907162,0.00165913261011023,0.158812357835554,0.00172349840409897,0.0971457452518992,0.00153536923652898,0.9578,0.00284320804725929,0.66451074733923,0.00468721456981952,0,0,0.0422,0.00284320804725929,2.69209875740724,0.254546145606268,0.469049769749565,5.73947357195082,0.017,0.0016
